#################################################################################################################################
# This file represents your tier list file. Default values are taken from https://drawtwo.gg/hypeds-limited-tier-list           #
# Tiers vary from S to F (S is the strongest) and each tier has an inside tier rank (1 is the best position inside the tier)    #
# Besides the tier and tier rank values you can also customize a custom value for each card that will be printed on the screen  #
#################################################################################################################################
# HEROES:
#card name; tier; tier rank; custom rank
Abaddon;C;14;
Axe;S;1;
Beastmaster;B;2;
Bloodseeker;C;2;
Bounty Hunter;A;5;
Bristleback;B;1;
Centaur Warrunner;C;7;
Chen;B;5;
Crystal Maiden;D;1;
Dark Seer;C;1;
Debbi the Cunning;C;2;
Drow Ranger;S;2;
Earthshaker;B;14;
Enchantress;B;3;
Farvhan the Dreamer;C;5;
J'Muy the Wise;C;4;
Kanna;S;3;
Keefe the Bold;D;11;
Legion Commander;S;6;
Lich;S;4;
Lion;D;4;
Luna;B;4;
Lycan;A;2;
Magnus;B;8;
Mazzie;C;3;
Meepo;F;2;
Necrophos;C;6;
Ogre Magi;A;6;
Omniknight;A;3;
Outworld Devourer;F;4;
Phantom Assassin;A;2;
Prellex;C;13;
Pugna;D;3;
Rix;F;3;
Skywrath Mage;C;10;
Sniper;A;7;
Sorla Khan;A;1;
Storm Spirit;F;1;
Sven;C;9;
Tidehunter;D;12;
Timbersaw;C;10;
Tinker;S;3;
Treant Protector;A;8;
Ursa;B;7;
Venomancer;B;7;
Viper;D;9;
Winter Wyvern;C;3;
Zeus;B;8;
#################################################################################################################################
# MAIN:
#card name; tier; tier rank; custom rank
...And One For Me;C;10;
Aghanim's Sanctum;A;6;
Altar of the Mad Moon;C;25;
Annihilation;S;4;
Arcane Assault;C;9;
Arcane Censure;F;12;
Arm the Rebellion;A;25;
Assassin's Apprentice;B;23;
Assassin's Shadow;B;38;
Assured Destruction;D;22;
At Any Cost;A;4;
Avernus' Blessing;C;19;
Bellow;D;28;
Better Late Than Never;D;12;
Bitter Enemies;D;21;
Bolt of Damocles;B;37;
Bronze Legionnaire;A;7;
Burning Oil;B;28;
Buying Time;D;13;
Call the Reserves;D;18;
Caught Unprepared;C;7;
Champion of the Ancient;B;2;
Cheating Death;B;12;
Cleansing Rite;F;13;
Clear The Deck;B;16;
Collateral Damage;D;25;
Combat Training;C;20;
Compel;B;6;
Conflagration;S;8;
Coordinated Assault;A;23;
Corrosive Mist;C;24;
Crippling Blow;D;7;
Cunning Plan;B;7;
Curse of Atrophy;C;27;
Cursed Satyr;C;17;
Defend the Weak;B;34;
Defensive Bloom;B;26;
Defensive Stance;F;1;
Diabolic Revelation;D;10;
Dimensional Portal;A;1;
Dirty Deeds;F;9;
Disciple of Nevermore;A;13;
Divine Intervention;B;14;
Divine Purpose;D;32;
Emissary of the Quorum;S;5;
Enough Magic!;B;29;
Escape Route;C;22;
Fight Through The Pain;D;1;
Fog of War;D;16;
Foresight;B;5;
Forward Charge;D;23;
Fractured Timeline;C;11;
Friendly Fire;A;8;
Gank;A;15;
Glyph of Confusion;D;19;
Grand Melee;F;2;
Grazing Shot;C;18;
